JLF9071,-8.059637,-34.905061
BBS0187,-8.060678,-34.905991
DAB0981,-8.060441,-34.904621
JEJ4162,-8.059455,-34.905554
GEX8427,-8.059996,-34.904718
JNM3303,-8.058888,-34.905645
PFX3130,-8.059401,-34.905172
MEC4678,-8.058910,-34.905952
BPX4958,-8.059825,-34.906178
KSS3316,-8.060419,-34.904882
WHP8531,-8.060828,-34.905881
ZPP1841,-8.060208,-34.906249
MWV1632,-8.060232,-34.904880
RUG1902,-8.059093,-34.906455
KRL2730,-8.060667,-34.906008
YCM4207,-8.059544,-34.905695
ESP1321,-8.058893,-34.905435
AWH8814,-8.060125,-34.905094
YIT5971,-8.060773,-34.905864
DHD2938,-8.060091,-34.905093
UXT5919,-8.058981,-34.906407
OJZ8967,-8.059182,-34.904853
LKV5925,-8.059157,-34.905762
QZX2415,-8.059390,-34.905550
FJA7271,-8.059574,-34.905356
AQP2832,-8.059477,-34.906124
UCR6704,-8.060619,-34.905521
COC2175,-8.059444,-34.905217
TMO5267,-8.059072,-34.904772
UUQ1856,-8.060567,-34.905498
EBD4152,-8.059625,-34.905460
EOB2369,-8.059697,-34.905830
VSI5247,-8.058911,-34.905126
DWA1363,-8.059880,-34.905969
JPF1918,-8.059865,-34.905617
RPJ5346,-8.058887,-34.906246
UUN6825,-8.059321,-34.904756
HIF6918,-8.060160,-34.905252
JJO2801,-8.060098,-34.905444
CXA3336,-8.059710,-34.905655
DNT2769,-8.059597,-34.905998
OAZ7238,-8.059711,-34.906045
NJI0085,-8.060365,-34.905119
GSX3659,-8.060189,-34.905029
CVL2952,-8.060648,-34.904928
ULQ1999,-8.059286,-34.905417
EDW6263,-8.059557,-34.905586
SPK6125,-8.060609,-34.904673
CIV5821,-8.059112,-34.904641
KIL8735,-8.059952,-34.905414
KGS4461,-8.059164,-34.906076
QCA7236,-8.059147,-34.905945
BDE4007,-8.059619,-34.905347
LFK3553,-8.060480,-34.904739
ROE2059,-8.060558,-34.904618
UXJ1494,-8.059535,-34.906128
DLW6730,-8.059282,-34.905655
XGA4619,-8.060214,-34.905659
GPM5952,-8.058978,-34.905692
MMS8290,-8.059646,-34.906406
ZZV5773,-8.059351,-34.905213
DSA4937,-8.059759,-34.905567
IWM6619,-8.060158,-34.906028
URJ6650,-8.060618,-34.906493
XJR9393,-8.058870,-34.904873
XPE1722,-8.058893,-34.906269
MDA2437,-8.059630,-34.905473
JAX9501,-8.059470,-34.904586
XOS5696,-8.059462,-34.905039
BMK7475,-8.059292,-34.906092
HYI6562,-8.059150,-34.905206
VDI9290,-8.059384,-34.904969
VJS7437,-8.060471,-34.905726
XBZ9477,-8.059373,-34.904901
MUQ0199,-8.060792,-34.904742
PHV1270,-8.060236,-34.905464
TGL5073,-8.060106,-34.904966
DEO6188,-8.060778,-34.904916
VRI5187,-8.060598,-34.905372
MQU1438,-8.060421,-34.906484
HYB0371,-8.059288,-34.904845
UCZ2597,-8.059812,-34.904898
KOQ2160,-8.060045,-34.905888
DTX4433,-8.059344,-34.906422
FJK4491,-8.060033,-34.905653
BIS4363,-8.059106,-34.905328
VNH9151,-8.058908,-34.906502
LVD5073,-8.060470,-34.906369
XOB0342,-8.060264,-34.906004
AFD0875,-8.060027,-34.904922
ISG2767,-8.059046,-34.904615
CLB5714,-8.059042,-34.905951
MQE5468,-8.059450,-34.905441
ZXI1482,-8.060722,-34.906370
YNK8037,-8.060548,-34.904916
PRK6357,-8.060212,-34.905102
YYV4519,-8.059395,-34.905816
XYP6512,-8.058968,-34.905821
SXK4868,-8.059531,-34.906487
MCX8940,-8.060134,-34.906164
BFA8044,-8.060111,-34.905541
QPI2514,-8.060271,-34.905391
BCQ4113,-8.059086,-34.905394
PVP1462,-8.060110,-34.905278
GMS4071,-8.060159,-34.906545
JWQ2731,-8.060710,-34.905619
ACO9421,-8.059555,-34.906474
SYE2824,-8.059456,-34.905617
RMU7370,-8.059180,-34.906549
PCI0903,-8.059997,-34.906487
UMB0555,-8.058968,-34.906451
IQE1681,-8.060033,-34.905396
SZL9956,-8.060161,-34.905195
ROZ8527,-8.059580,-34.904860
HPS8733,-8.060000,-34.906188
DSA9467,-8.058946,-34.905582
AFD1830,-8.060672,-34.906289
YDE9697,-8.060825,-34.906453
CYL6238,-8.060313,-34.904600
ZUC1711,-8.059706,-34.904851
CAF7907,-8.060447,-34.905516
